# tri_id  lon  lat  e_ee  e_en  e_nn  e1  e2  azimuth  dilatation  max_shear  second_invariant  e_ee_std  e_en_std  e_nn_std  e1_std  e2_std  dilatation_std  max_shear_std
  161    97.67867   32.16300       -12.473        -5.577        15.515        16.585       -13.544    169.14         3.041        15.065        21.413       1.441       1.256       1.791       1.766       1.440       2.244       1.156
  162    90.71567   42.53167         0.541        -2.797        -2.667         2.161        -4.287    120.08        -2.126         3.224         4.801       1.112       0.489       0.637       0.947       0.612       1.270       0.482
  164   104.32100   39.73700         4.205        -5.436        -4.469         6.822        -7.086    115.71        -0.264         6.954         9.836       1.291       0.662       1.214       1.239       0.871       1.530       0.749
  165   102.88533   39.73033         1.749        -6.680        -4.593         5.972        -8.817    122.30        -2.844         7.395        10.649       0.618       0.649       0.968       0.960       0.848       1.224       0.668
  166   101.76433   39.12700         0.992        -7.259        -5.092         5.821        -9.920    123.63        -4.099         7.870        11.502       1.276       1.482       1.674       1.195       2.197       2.142       1.407
  167    92.04267   42.52700         0.213        -4.176        -2.164         3.366        -5.317    127.06        -1.951         4.342         6.293       0.535       0.394       0.587       0.563       0.586       0.807       0.409
  168    93.27100   41.11267        -0.876        -5.580        -2.500         3.950        -7.327    130.86        -3.376         5.639         8.324       0.525       0.434       0.417       0.573       0.475       0.697       0.395
  169    94.52733   41.60367        -0.585        -4.450        -2.509         3.007        -6.100    128.90        -3.093         4.553         6.800       0.845       0.547       0.497       0.766       0.743       0.973       0.577
  170    97.66733   37.59967         2.535       -12.156       -12.960         9.202       -19.627    118.74       -10.425        14.415        21.678       0.909       1.548       2.100       1.577       1.803       2.329       1.231
  171    96.85467   36.84900         4.227       -14.040       -11.497        12.457       -19.727    120.38        -7.270        16.092        23.331       1.058       1.059       1.908       1.664       1.001       2.173       0.839
  172    97.57333   36.17833         0.988       -19.617        -3.775        18.368       -21.154    131.54        -2.787        19.761        28.016       1.495       0.694       0.703       1.460       0.737       1.730       0.767
  173    98.59833   36.64700        -1.340       -15.913        -8.355        11.447       -21.142    128.78        -9.695        16.295        24.042       1.948       0.828       0.866       1.836       0.652       2.086       0.900
  174   100.06967   37.51133        -7.377       -17.224       -10.543         8.336       -26.257    132.37       -17.920        17.297        27.548       2.276       1.037       0.950       1.985       1.206       2.489       1.071
  175    99.52700   37.76533       -11.564       -17.127       -10.657         6.023       -28.244    135.76       -22.221        17.133        28.879       1.341       0.911       0.836       1.216       1.142       1.555       0.887
  176    97.28833   40.06700        -1.608        -6.491        -1.823         4.777        -8.207    134.53        -3.430         6.492         9.496       4.028       5.386      12.289       9.259       6.673      12.750       4.948
  177    98.88733   38.88467       -17.220       -19.035        -8.314         6.782       -32.316    141.58       -25.534        19.549        33.020       1.359       0.675       0.614       0.934       1.107       1.442       0.728
  178    99.57000   38.33233       -15.000       -17.516        -8.177         6.257       -29.434    140.51       -23.177        17.845        30.091       1.380       0.846       0.973       1.382       0.929       1.688       0.821
  179    98.89067   35.99767       -17.046       -18.720         2.897        14.136       -28.285    149.02       -14.149        21.210        31.621       1.717       0.827       0.643       1.046       1.280       1.814       0.738
  180    99.56167   36.03800        -5.156       -14.461         0.268        12.269       -17.157    140.31        -4.888        14.713        21.092       3.004       0.992       0.548       2.173       1.384       3.038       1.005
  181   100.56300   36.51300        -0.704        -8.415        -7.393         5.007       -13.104    124.16        -8.098         9.055        14.028       2.057       0.950       0.846       2.035       0.816       2.262       1.060
  182   101.04033   37.12400         4.732       -13.029        -8.510        12.726       -16.504    121.53        -3.778        14.615        20.840       2.299       1.218       1.273       2.142       1.311       2.624       1.197
  183   101.42333   37.04367         5.951       -14.069        -6.765        15.032       -15.846    122.84        -0.814        15.439        21.842       5.659       2.288       1.237       4.808       2.362       5.731       2.477
  184    95.02767   33.38933        10.013       -18.305         4.889        25.934       -11.032    131.02        14.902        18.483        28.183       3.278       3.879       2.615       4.612       3.863       4.529       3.601
  185    95.75300   33.15367        -2.498       -22.446        13.142        29.092       -18.448    144.60        10.644        23.770        34.448       2.229       2.022       2.492       2.511       2.748       3.323       2.042
  186    96.39267   33.42667       -14.426       -19.549        26.258        34.129       -22.296    158.07        11.832        28.213        40.766       1.668       1.837       4.736       4.174       2.031       4.959       2.151
  187    95.22467   37.33433         6.523        -8.605       -11.174        10.018       -14.668    112.10        -4.651        12.343        17.763       2.996       2.864       1.392       3.232       1.022       3.297       1.740
  189    94.82267   38.63333       -15.073        -7.314        -4.189        -0.515       -18.747    153.33       -19.262         9.116        18.754       6.222       2.126       1.237       1.457       6.066       6.181       3.147
  190    95.84933   38.49100        -0.236        -8.975        -8.683         5.459       -14.378    122.40        -8.919         9.919        15.380       2.337       1.982       3.134       3.274       1.060       3.735       1.560
  191    95.53400   39.15767        -7.391        -7.495        -5.394         1.168       -13.953    138.80       -12.785         7.561        14.002       1.225       0.871       1.223       1.603       0.721       1.782       0.867
  192    92.58567   37.58200       -34.192       -14.482        -2.774         2.883       -39.849    158.66       -36.966        21.366        39.953       0.449       0.323       0.424       0.374       0.470       0.559       0.320
  195    97.31567   30.44033         4.470        20.210        23.034        35.991        -8.488     32.67        27.503        22.240        36.979       9.829       3.001       2.046       5.656       5.646       9.769       2.842
  196    97.16500   30.18933         0.753         7.683        18.783        21.613        -2.077     20.22        19.536        11.845        21.713       4.982       6.233       6.047       7.694       4.746       7.775       5.074
  197    96.09867   32.37667        -1.287       -12.198         9.326        17.321        -9.283    146.76         8.038        13.302        19.652       2.375       2.300       2.363       1.182       3.683       3.431       2.131
